trait1	trait2	n_species_overlap	phi	p_value
aerobic nitrite oxidation	nitrification	1661	1	0
oil bioremediation	hydrocarbon degradation	46	1	0.018
hydrocarbon degradation	plastic degradation	47	1	0
dark iron oxidation	iron oxidation	127	1	0
methanotrophy	methanotrophy	161	1	
methanogenesis	methanogenesis	13344	1	
methanogenesis by disproportionation of methyl groups	methanogenesis by disproportionation of methyl groups	13315	1	
acetoclastic methanogenesis	acetoclastic methanogenesis	13322	1	
methanogenesis using formate	methanogenesis using formate	13339	1	
methanogenesis by CO2 reduction with H2	methanogenesis by CO2 reduction with H2	13342	1	
methanogenesis by reduction of methyl compounds with H2	methanogenesis by reduction of methyl compounds with H2	13294	1	
hydrogenotrophic methanogenesis	hydrogenotrophic methanogenesis	13326	1	
methanol oxidation	methanol oxidation	722	1	
methylotrophy	methylotrophy	453	1	
aerobic ammonia oxidation	aerobic ammonia oxidation	1520	1	
aerobic nitrite oxidation	aerobic nitrite oxidation	1736	1	
nitrification	nitrification	1730	1	
sulfate respiration	sulfate respiration	4910	1	
sulfur respiration	sulfur respiration	4975	1	
dark sulfite oxidation	dark sulfite oxidation	398	1	
sulfite respiration	sulfite respiration	5866	1	
thiosulfate respiration	thiosulfate respiration	6131	1	
respiration of sulfur compounds	respiration of sulfur compounds	6027	1	
arsenate detoxification	arsenate detoxification	151	1	
arsenate respiration	arsenate respiration	3473	1	
dissimilatory arsenate reduction	dissimilatory arsenate reduction	86	1	
arsenite oxidation detoxification	arsenite oxidation detoxification	98	1	
arsenite oxidation energy yielding	arsenite oxidation energy yielding	331	1	
dissimilatory arsenite oxidation	dissimilatory arsenite oxidation	69	1	
anammox	anammox	3281	1	
nitrate denitrification	nitrate denitrification	7006	1	
nitrite denitrification	nitrite denitrification	4281	1	
nitrous oxide denitrification	nitrous oxide denitrification	3522	1	
chitinolysis	chitinolysis	1496	1	
knallgas bacteria	knallgas bacteria	1466	1	
dark hydrogen oxidation	dark hydrogen oxidation	889	1	
nitrogen fixation	nitrogen fixation	579	1	
nitrate ammonification	nitrate ammonification	3249	1	
nitrite ammonification	nitrite ammonification	3200	1	
nitrite respiration	nitrite respiration	4241	1	
gelatin degradation	gelatin degradation	7391	1	
cellulolysis	cellulolysis	2175	1	
xylanolysis	xylanolysis	925	1	
dark sulfide oxidation	dark sulfide oxidation	302	1	
dark sulfur oxidation	dark sulfur oxidation	590	1	
dark thiosulfate oxidation	dark thiosulfate oxidation	656	1	
dark oxidation of sulfur compounds	dark oxidation of sulfur compounds	443	1	
manganese oxidation	manganese oxidation	342	1	
manganese respiration	manganese respiration	3483	1	
ligninolysis	ligninolysis	69	1	
fermentation	fermentation	8184	1	
lactic acid fermentation	lactic acid fermentation	4804	1	
